Size	TransferToTotalTime
8	0.07270204018135239
11	0.07997986846684976
30	0.08077147392203682
48	0.0718142604163652
68	0.08002514452003072
77	0.08044700471159033
100	0.08186492819839473
111	0.07714409346718448
128	0.07789761859167374
151	0.07926967061505923
156	0.07223488802577122
207	0.07993489913924666
213	0.07907687666152603
245	0.07997134964966544
250	0.0788917538294458
283	0.08212702498074022
305	0.0759798948032611
326	0.0732361574149904
362	0.07890085344109615
365	0.08038781215535547
379	0.07995116498868213
414	0.07895224736399668
416	0.07890254477420135
417	0.07660958076698793
419	0.07850508266837593
421	0.07485433284962804
423	0.07491590392444943
428	0.07449837245240294
429	0.07532130940265731
430	0.07307001891310663
431	0.07869214260885911
432	0.07661231784072868
501	0.07722246478741394
509	0.07912439291522172
510	0.07693633303586082
516	0.06966253415054897
517	0.07212580665956848
530	0.07764956238131772
532	0.08511884196877548
539	0.07164342639512816
540	0.07432884341841609
541	0.06820970140359904
542	0.07244146226677553
545	0.07338689002118198
547	0.07060956088467797
548	0.08150979280470232
552	0.07262200692109272
554	0.079788056556451
588	0.0735307959698049
592	0.0701282950034047
593	0.07266344871080457
595	0.06968824853962449
596	0.06660599056954357
597	0.07083013010093184
598	0.07825741169441905
599	0.07593442024717684
601	0.07669644320802814
602	0.0694384340150118
603	0.07255980492169109
609	0.07219787901600827
612	0.07321516692570192
614	0.07650245197202475
616	0.06741816442109873
620	0.07333060838265648
624	0.07619433749927117
625	0.0754596354702563
626	0.07508670374837347
627	0.07631362931131204
635	0.07440589299081245
646	0.0766216236638114
647	0.1486599044498995
648	0.07663124906518619
649	0.22318783044399562
654	0.163343470932522
660	0.161397293217227
669	0.16044899774772187
683	0.15717782732953653
698	0.16469815641454158
699	0.170395184180526
765	0.16507548807288963
782	0.16881524504757622
788	0.15948886826327804
791	0.15730019723443103
817	0.15263024938899183
833	0.17256421286918594
852	0.17012207584618638
968	0.15974139894207207
1015	0.18801442305643495
1099	0.2139701377685975
1106	0.16316873136326737
1157	0.3609076791459513
1181	0.17185334128403584
1299	0.30135895907023735
1544	0.2090829775057653
1621	0.15870068335825485
1631	0.16776740830622275
1795	0.16271557392687908
1804	0.16182071357269462
1824	0.19254206777564115
1863	0.1396463442368012
1896	0.08731252415661413
1940	0.1602064040144873
2215	0.256992739682661
2476	0.19306358212083422
2553	0.21439994811215551
2555	0.28852570369892727
2556	0.1975233244982821
2662	0.18344392101689724
2726	0.14555434749455948
2824	0.16455907577710377
2968	0.16661132627777647
3001	0.21078044848100472
3116	0.1785274322355435
3177	0.156636780674318
3312	0.08036295539413582
3578	0.16198716915396097
3625	0.19924735320597825
3661	0.1783203953125166
3788	0.2832968071616522
3897	0.18209168045368673
3914	0.18779194099778002
4201	0.19901298099635473
4267	0.16042917353033256
4369	0.14771628415470328
4387	0.2221616479269937
4423	0.19292386232933273
4482	0.1480669337061864
4701	0.22626969945465572
4716	0.08701303500985205
4734	0.15972393569119533
4740	0.16528081468826877
4751	0.17525855160321002
4752	0.17586191704674997
4755	0.15942320565681659
4756	0.1608358835603365
4781	0.15348411524311092
4796	0.1696239115860161
4800	0.17421782854346973
4846	0.16897671191128663
4856	0.17165743489700971
4867	0.17491061115086634
4874	0.24928411721035174
4878	0.18450675954331755
4907	0.24942419163883195
4926	0.16646419455738504
4927	0.17551830818084535
4929	0.24728479488025082
4932	0.16025252775696436
4933	0.17640017755488033
4934	0.20323615231948103
4935	0.23637728504442054
4936	0.1619039350631627
4937	0.18147360279072322
4938	0.17375713779473867
4942	0.1756419389173198
4944	0.15999594544024684
4951	0.16190267304157233
4954	0.17683933454819864
4965	0.2589651512225563
4967	0.1816422320314925
4968	0.26671633586180904
4970	0.17036716437918978
4972	0.16375981037374218
4976	0.21493796746190966
4977	0.17525681709727423
4979	0.2428617827046396
4980	0.17430033366089315
4996	0.2031000993610668
5016	0.16506829059795425
5041	0.34706716900839807
5043	0.32838748838331966
5051	0.15746586147512662
5379	0.16028475561402955
5479	0.17026554059208107
5480	0.23180555029211578
5494	0.22765226864783866
5501	0.173574910007386
5514	0.23962083455290617
5517	0.17196746582748906
5530	0.17847773783813603
5534	0.29575998136789694
5539	0.16330244727435195
5544	0.178383919772793
5553	0.23474059288681634
5560	0.17125517612956345
5571	0.17495900772524836
5572	0.1813748869385389
5580	0.18010055004556144
5589	0.15871271163377457
5599	0.1757970980616628
5966	0.17858545163309683
6443	0.16250378452643435
7130	0.15149621861935172
7680	0.18370700770075865
7733	0.1527089027975601
7832	0.19133201608268158
8024	0.14854838316614372
8197	0.15259407718840012
8326	0.19058884741459417
8491	0.23546484928632122
8556	0.18084525084990258
8969	0.32256992129518675
8985	0.1931583300869334
9379	0.1548585945938698
9680	0.1493879369836484
9773	0.1476037083170159
10147	0.1968721442467168
10189	0.14020336338866496
10326	0.19606239754262483
10351	0.17952559967110188
10384	0.16680469943127094
10542	0.21266717823375597
10665	0.3135375369633553
10944	0.14375713685371436
10974	0.1932203506138197
11307	0.14983835144392285
11380	0.15249747863949084
11468	0.2121293325079953
11964	0.14090773910919305
12038	0.15873818847048737
12273	0.13300373329124363
12369	0.15773646519133766
12439	0.16284362725297097
12451	0.16369084806675108
12456	0.16041450443457303
12579	0.15289098342635543
12667	0.21821562992788537
12747	0.31294650871981733
12826	0.16577843058034547
12827	0.18354363639104262
12831	0.14845083390899064
12832	0.16587142133721763
12835	0.17302382685291615
12856	0.1681585990259982
12879	0.15943334442718288
12883	0.17392620455436789
12899	0.17119352555790907
12934	0.16134823450541422
12951	0.17314353489222878
12953	0.1748969000685007
12954	0.17690725743224642
12958	0.16556645175779042
12970	0.1749295622164541
12971	0.15533916911098836
12983	0.22030555490344023
12992	0.16018079057739512
13002	0.16329574362850724
13026	0.1682015322061945
13064	0.1623365098740563
13147	0.1642635980740122
13153	0.16773801400700128
13159	0.16238767291910883
13174	0.1756749144283449
13187	0.1624908580298861
13204	0.17109899265345146
13213	0.1685742710111863
13225	0.3292684441027368
13256	0.17081372416357954
13336	0.17349934653505686
13345	0.16392386372067083
13362	0.1544635350502479
13368	0.1657596269671467
13370	0.16686395649995273
13374	0.07660230077213115
13377	0.16516148106459264
13396	0.1619659028094245
13453	0.1961591505868638
13519	0.16385163932736763
13540	0.16418959658592588
13556	0.16849616564959907
13557	0.16726747494817845
13567	0.17012047110393724
13901	0.17709090289511728
13932	0.1653848870050481
13939	0.1653907515641895
14098	0.1617183326947711
14117	0.2306723648679023
14256	0.20795339889678896
14259	0.16651173129817298
14260	0.16961989678834985
14269	0.16318197137215915
14270	0.169189430703924
14280	0.16562704269561612
14284	0.17092909893073385
14327	0.16103787260350502
14331	0.16416025883634272
14414	0.16637147813604936
14428	0.1674748792130251
14443	0.17008933156873238
14555	0.17484647124635883
14822	0.1487172140615758
14849	0.13572753012860836
14920	0.14132197013527956
15009	0.14728301265912264
15402	0.21809564299403603
15872	0.13545123532159023
16064	0.14725966016859604
16173	0.16036210663988676
16836	0.3080236311190392
16946	0.2995613017136744
17036	0.2709055473680987
17408	0.19020175298743106
17685	0.2769769424361203
18137	0.26386217525640443
18168	0.26434928206065367
18203	0.26278182449718596
18227	0.08010558784753438
18425	0.2520128372506252
18571	0.26238137429622943
18687	0.260472807294388
18829	0.3031387485622936
18954	0.2720387112219236
19885	0.20906649548251105
19912	0.21600386958545162
20109	0.290487517751553
20574	0.2983708355536323
20780	0.25905018672983565
20966	0.2583702221178852
21917	0.21155521566611918
21988	0.2150607438861896
22113	0.25888274222044005
22297	0.4958467496409627
22487	0.21360615517005127
23210	0.21272864350286722
23225	0.24584608031693625
23501	0.21608972411397886
23833	0.2578458781616425
23897	0.20549377325249826
23946	0.21401336400987203
24087	0.209243365874306
24226	0.173501014433862
24240	0.17510688849106593
24576	0.2721568187204395
24715	0.1841681048462953
24939	0.2506943293981939
25438	0.38703323102910103
25482	0.21313847681145492
25661	0.1786434859842113
25829	0.17447350584410434
26233	0.17616104173049
26306	0.20563155253279325
26624	0.2400068300867704
26734	0.1725442814697875
27136	0.2717999869644526
27146	0.4730236295014402
27243	0.17318556332948074
27454	0.19644827675678894
27551	0.16389905533003082
27648	0.2492299157717664
27774	0.16979517516391773
28083	0.2417348874363898
28441	0.18106781452575268
29184	0.4017019858687433
30387	0.34042548681116924
30720	0.3515099188104628
30796	0.427917291849503
31232	0.3936292825975451
31744	0.3989452776459685
33069	0.376907969831524
33257	0.445723169124741
33280	0.4058358384908027
34724	0.4639813848760931
34789	0.3599654733085198
35317	0.3744166036968616
36619	0.507892077446324
36721	0.33991786699126975
37527	0.38139018987880535
37888	0.39688131739315247
38144	0.41849021662296526
38325	0.3431466419234305
38624	0.493461346918586
39936	0.37741505640565104
41880	0.35573609225116787
42089	0.4587052650897791
42094	0.3735750652337503
42447	0.3624530461542727
42539	0.41804831188452435
42616	0.3552913978550941
42686	0.33814720597439263
42833	0.34106737765386963
43008	0.3658937947628358
43166	0.3332243815723395
43825	0.4198932189638712
44450	0.48291876736439215
45552	0.5677365308094589
46409	0.33321363724512343
47997	0.4322562289459511
49272	0.4242736007462862
52342	0.4020206574905722
52409	0.4066849259651601
52939	0.5507450844254118
53104	0.33318311075144447
53149	0.3754024457058619
53180	0.3851772486183054
54743	0.38358253710074613
56566	0.5505632174127217
57908	0.42059313716268026
58828	0.39189228619510086
59016	0.3724691157856367
59690	0.35297835010593015
61980	0.5528314327616363
62782	0.598719298568528
63999	0.5199169455079811
64803	0.4645370899206765
65124	0.44622653860087985
66552	0.4344349320425311
68342	0.4364414481374907
69728	0.44723310058310695
72752	0.46360468415094946
76900	0.49305021220235173
77362	0.4828195498379736
81148	0.44363098860268885
81483	0.4511784868422784
83503	0.48901271973040034
85167	0.4911252709196411
86399	0.5638958854197335
88172	0.595856111869552
90685	0.5673288967087483
91001	0.576383025370935
92715	0.569293504782053
97285	0.6405263572800584
97898	0.5412958447756672
104676	0.6457387270186423
108484	0.5415482207552093
109410	0.6524483580957305
117879	0.5779548166180986
121635	0.6773723932341142
124773	0.5934028736550275
134703	0.6590945814152405
136294	0.6738880526425061
136784	0.6651526098619186
141111	0.608591669335671
142209	0.6084650286567697
144761	0.5922981653436671
148748	0.6618557510949072
149414	0.63169486645566
153796	0.6131673126053241
155718	0.6198816288537945
158971	0.677197352838959
163004	0.6354720552860044
163174	0.6727714903605394
172589	0.6501233495987421
177664	0.6230583765710761
177721	0.661486645894589
179062	0.6410714746417279
184245	0.6771952996039701
190711	0.6754160071909867
191214	0.7105130944985971
191305	0.6960324366418021
193587	0.6714108129531898
194236	0.7096642103758
235203	0.6875448025266369
235264	0.704427543138573
236370	0.697243899109409
241895	0.7263946217064133
244670	0.7431790425533356
256766	0.6973982645672117
304026	0.7535098056248346
367476	0.7812172738934186
369079	0.7748194404471312
378628	0.7812224708972484
386726	0.7899566210055776
389487	0.782934358360434
404661	0.8015693746393767
417790	0.8192683016212234
432407	0.8063487398156646
449254	0.8154142441107799
451912	0.8270239286357893
464695	0.808553270635201
517280	0.8193324360045148
555390	0.8389925748142063
832647	0.8651601096336338
869729	0.870904895764338
893507	0.8752238809459971
894604	0.8740881418157858
894692	0.876727058811412
903805	0.8784973020746771
1210098	0.9026129675899675
1251680	0.90380748788495
1413240	0.9251276457145222
1590513	0.9276448189201711
1629865	0.9286301624139227
1630697	0.9297592073091593
1638125	0.9276364487246539
1650136	0.929198991774189
1651457	0.9304218335659674
1657626	0.9290835798401189
1692249	0.9308203179755058
1698248	0.9346732414472957
1710022	0.9330080991149658
1715421	0.9314552656712327
1738708	0.9320760625083528
1747746	0.9418120687838673
1749307	0.9319037800307167
1753046	0.9334888261434048
1780405	0.9332912928664566
1787592	0.9408496945842137
1805607	0.9323596882275882
1814824	0.9343057390047883
1824715	0.9345824196813979
1833306	0.9362462903670705
1876805	0.9382293499306738
1885082	0.9396274605114308
1891615	0.9354925263966207
1914102	0.9392640190307365
1955454	0.9371983080214423
1996240	0.9391099707527261
2061754	0.938692736186584
2124081	0.9442298498998895
2131616	0.9434386117185021
2171895	0.9454861685211583
2224767	0.9459830089187597
2252992	0.9454632684289029
2294341	0.94848663307071
2297383	0.9468086869031581
2315822	0.9487797333074987
2319343	0.9465514809655986
2335449	0.950083130701584
2346529	0.9451731008927532
2383241	0.9526300785917898
2388068	0.9501605175428207
2458492	0.9507618877891917
2506306	0.9518300900164199
2532637	0.9517874432444547
2628080	0.948946131518724
2642176	0.9541128725346456
2681617	0.9560186627769189
2686395	0.9546902264924017
2780803	0.956719744311911
2813978	0.9564762827891807
2835901	0.9556696900773133
3126466	0.9596663999245733
3240329	0.9627123374031801
3281742	0.9637910037266092
3361460	0.9573025417061357
3465906	0.9615672374414445
3497935	0.9641028300627774
3561356	0.965595154860591
3618217	0.9672992593169356
3621675	0.9668535820061832
3627567	0.9663005348061176
3696225	0.9685195164413917
3726286	0.9666459268558029
3739423	0.9669759709402779
3783592	0.9655851419044115
3824036	0.9670469833104316
3893943	0.9695499660601338
3900355	0.9653586641489544
3940903	0.9690971772726165
4060872	0.9697402335438722
4084085	0.9701327962131613
4164216	0.9696060420328189
4174004	0.969646484221691
4254548	0.9700960442453163
4292433	0.966268623221163
4295589	0.9707962231773167
4305635	0.9661762473171595
4335209	0.9714898880290309
4355921	0.9720466531128152
4384232	0.9702074498609984
4428158	0.9679495674724101
4451269	0.9716468454463579
4501423	0.9702667982924434
4532275	0.9731985681347194
4539692	0.9725377409991453
4548859	0.9737054110428086
4561305	0.9737490457969097
4600144	0.973609237467988
4614541	0.9722008776388997
4628626	0.9749594972366857
4653520	0.9761207738084317
4674330	0.9720648548282939
4675221	0.9738227084789072
4697100	0.9739405342440582
4697719	0.9737044380003784
4714483	0.9707220322398489
4727916	0.9744373637885402
4732453	0.9749136431280743
4750396	0.9748846736716621
4790468	0.9702049806405261
4799132	0.968722432633559
4803326	0.9740881429711513
4826024	0.9735743737482248
4834098	0.9702926323298524
4834263	0.9710482037726154
4836827	0.9714176431832544
4839159	0.9751440931419791
4839917	0.9758855410809415
4866424	0.9737912493101623
4874427	0.9752141881909974
4877411	0.975894379915726
4927017	0.9724467620294893
4928380	0.9759878601277919
4929657	0.9740785080721396
4939189	0.9751955857328996
4941117	0.971595743802252
4943740	0.9762555081823605
4971849	0.9752853184441623
4983797	0.975277642351239
5003922	0.9755839891010561
5004635	0.971283675814801
5031616	0.9753780629069077
5060504	0.9759481232930328
5067940	0.972075527427686
5088377	0.9764265773542968
5095359	0.975442930156009
5145509	0.9762626099949528
5165056	0.9766707393151037
5200339	0.975820582007568
5209106	0.9759731869382053
5209162	0.9758331358673665
5218683	0.9773463210673663
5232954	0.9762146647861422
5289186	0.9771397827090286
5455910	0.97723758870024
7235496	0.9825211837781959
8137488	0.9823231281102438
10145857	0.6513138812761188
10314226	0.9836542226468497
68111944	0.9959553000763144
10776215552	0.9998423388890574
