Size	AvgBPS
8	74211.39837683315
11	109362.45894010362
30	244882.4232717474
48	426829.2377883198
68	639844.1484600367
77	690619.2384061627
100	889412.768743589
111	1054371.8748636672
128	1200694.9785436601
151	1407285.5573826625
156	1540358.7657491073
207	1911722.80718744
213	2075827.924425744
245	2285621.112099161
250	2271911.5974536245
283	2443990.5636610906
305	2891787.2725285315
326	3189779.61168286
362	3536179.5155771975
365	3472004.3117217603
379	3603220.4301252994
414	3965018.726417187
416	4021003.1342415134
417	3986513.236442601
419	3978061.374814044
421	3927024.0494200327
423	4019267.8435345613
428	3841242.363654568
429	3970329.9152076375
430	3992561.584173559
431	3987505.032488858
432	4178590.1374992426
501	4895854.088584209
509	5007928.979923944
510	5016356.164481304
516	4978498.7387442365
517	4906435.689629687
530	5375218.541900234
532	3857975.876705036
539	5467987.828995472
540	5332493.96727481
541	5401295.439973904
542	5385944.727311295
545	5413406.926516997
547	5410123.50207837
548	5314556.6610416
552	5369282.03512158
554	5376290.978147366
588	5902604.771469928
592	5785840.479794617
593	5620506.95756373
595	6053672.511154553
596	6027411.265579172
597	5941450.475403243
598	5441673.498489567
599	5573081.600937918
601	5909934.659939071
602	6343512.334095491
603	6315818.79573601
609	5835772.381553496
612	5778192.922348726
614	6091121.102388515
616	6262763.942227089
620	6066331.102124359
624	6019566.75320307
625	6099326.664078378
626	6284126.498779352
627	6197100.240236512
635	6300776.360502031
646	6212559.1143108625
647	5092303.813599813
648	5947872.051942834
649	3766305.846122789
654	5413681.135740887
660	5453344.304930291
669	5357955.673288967
683	5252548.168845358
698	5430892.777592732
699	5363180.136303358
765	5993892.767913813
782	6075513.318663202
788	6211743.5425782455
791	6181877.871451429
817	6329772.818436304
833	6487385.669878367
852	6454963.551461654
968	6461511.141232946
1015	6588106.817045176
1099	7556828.616227357
1106	8619895.28449718
1157	2859330.2534461757
1181	8543270.214747978
1299	6649398.5103273
1544	9979524.550004989
1621	12132322.379932603
1631	11671918.915838845
1795	13609182.088536901
1804	12866538.66146587
1824	12167456.55436132
1863	15439280.735668955
1896	16394554.704261856
1940	14271790.123894125
2215	11689023.16791906
2476	14479600.145854177
2553	16324503.94797575
2555	12365265.128557999
2556	16354855.843951508
2662	16803543.331278022
2726	19027853.819913432
2824	18884318.196223322
2968	19557657.390859522
3001	15842835.956947
3116	17841272.27609324
3177	22846508.504703563
3312	28864112.852546215
3578	20087617.87576083
3625	19703881.385768846
3661	23902718.258253153
3788	15246796.603938663
3897	25224235.611006852
3914	25215453.131268576
4201	24717448.0768212
4267	28273265.0402974
4369	27719186.139286608
4387	25218481.212605007
4423	25363410.42412762
4482	28122003.616564777
4701	28032621.86366716
4716	34923507.8413262
4734	29724863.04491345
4740	30075593.05593109
4751	27829762.848035764
4752	28956278.49049217
4755	31228977.704843335
4756	30438522.752893195
4781	32295973.46306704
4796	30150756.89710807
4800	28468282.332040403
4846	31053541.316004954
4856	31013530.284641765
4867	28231384.626734167
4874	22515208.970616262
4878	30708723.47219469
4907	23516029.442041755
4926	30090363.129630975
4927	30367055.222465187
4929	23671012.582624175
4932	31889131.79618308
4933	29564667.007299278
4934	27803587.61797414
4935	23914871.155346744
4936	33181628.33195505
4937	29416857.513286564
4938	30152856.31598708
4942	30393368.990695387
4944	32374561.693489842
4951	31930031.984266516
4954	29528109.471003484
4965	23972303.840459954
4967	30901060.448489975
4968	23288080.084262576
4970	29001691.780041773
4972	31505809.432313167
4976	27004648.380108505
4977	29441210.839166634
4979	23311155.103599597
4980	29663776.747850053
4996	29999269.72179874
5016	33170069.73921083
5041	13261273.401062382
5043	9968392.154118458
5051	33130508.52271371
5379	35621125.79480885
5479	33562336.36212256
5480	27109853.857904293
5494	27756683.328208804
5501	32558239.372673497
5514	27470163.82101924
5517	34486366.23441427
5530	33845612.95519266
5534	22226836.917341262
5539	35452663.6396788
5544	32526766.817534607
5553	27128010.26575998
5560	33694059.40370615
5571	32674026.9558097
5572	32189592.270550847
5580	33273796.14921619
5589	36099638.49312323
5599	34269479.72286419
5966	37561568.63766854
6443	39950339.069520704
7130	45333328.961991556
7680	35454617.28042022
7733	47023989.6497321
7832	39839596.04510068
8024	48736641.75470982
8197	48719102.63170451
8326	42266463.74984181
8491	36481463.467762806
8556	45063986.2545677
8969	16855567.980164334
8985	42566127.94792296
9379	45067793.55707686
9680	49041393.74351039
9773	54772665.00426143
10147	45361916.339434065
10189	59284201.82099472
10326	44391975.57492048
10351	51247639.00180511
10384	54034530.2436003
10542	39448030.388549246
10665	20113492.606217887
10944	55085102.65914179
10974	52491966.86886516
11307	61687834.48805105
11380	62885171.07696688
11468	46113951.88726994
11964	60880809.95108219
12038	63620394.63812971
12273	70852993.64343962
12369	64131424.845933914
12439	63328029.10806777
12451	59466478.70417116
12456	61481338.88799207
12579	68342617.17596284
12667	49191170.05582335
12747	23472376.981508717
12826	63080155.843649775
12827	59419860.094806
12831	68187044.52602057
12832	60974013.860314935
12835	60778400.11114021
12856	64136047.24170094
12879	64693997.04517407
12883	59731004.648001894
12899	61234007.918382645
12934	63952071.542444326
12951	62409808.9843832
12953	63366485.55075547
12954	61102429.885080114
12958	63545773.76046221
12970	62749797.92844036
12971	64536506.56821798
12983	52596805.79284371
12992	65692407.99998585
13002	64465407.54507801
13026	63306924.63977204
13064	63864832.7014561
13147	64150062.66124871
13153	62422528.0258836
13159	66509674.86774906
13174	61126143.45403406
13187	66395106.85503934
13204	61937297.3321013
13213	65327928.20377176
13225	23406393.762940288
13256	65098889.87072889
13336	67101202.01177013
13345	67282301.88058046
13362	67234734.59551775
13368	65159093.0243428
13370	65323547.86011478
13374	90444865.2651083
13377	63543646.731237955
13396	66065670.26098523
13453	51873759.199266925
13519	65022718.77258437
13540	68343289.38498645
13556	67445597.91703019
13557	64727039.372735
13567	63757122.65274448
13901	62348935.940987304
13932	65416046.597289905
13939	63237041.69621166
14098	69430351.69065976
14117	56795402.521850355
14256	55053206.50212787
14259	68100579.81807674
14260	66870416.72473987
14269	68418372.6240248
14270	68271062.03851493
14280	68820362.99982935
14284	65436231.023591965
14327	65017787.907790095
14331	70516874.60481533
14414	64668246.51448027
14428	67916828.17610614
14443	66036686.29659179
14555	68994948.11112905
14822	62405368.169525616
14849	74435878.5964629
14920	70022856.51023632
15009	63824720.64970579
15402	59308209.30190523
15872	74776631.74643892
16064	73008325.5969716
16173	80003073.17023891
16836	72941080.03561006
16946	64371986.978612594
17036	71374931.66347086
17408	78687737.9902134
17685	60587971.632857144
18137	78308655.00264163
18168	76123878.21691586
18203	80237165.04665947
18227	109457000.52762185
18425	71854627.58375369
18571	79387480.58530365
18687	79232748.56368731
18829	75507351.11201297
18954	70298971.85013314
19885	92659079.1714899
19912	91695429.74328463
20109	79061934.94047922
20574	70301603.55382642
20780	74501925.15778297
20966	81849053.10108836
21917	99463418.59737
21988	99650105.32852115
22113	87095637.85910147
22297	30357390.08810461
22487	98252111.0898159
23210	94227549.59829748
23225	96238504.23348062
23501	99773256.21553014
23833	90640000.8830385
23897	106749668.46505737
23946	105014705.85817495
24087	108352261.1464146
24226	111895010.4869857
24240	118372651.13406277
24576	91662848.08148147
24715	116815654.68131675
24939	86275848.62113726
25438	68474661.97458039
25482	95940905.27104121
25661	115075646.73477165
25829	115650271.24152295
26233	120098377.65899804
26306	101044788.92373356
26624	80925576.87135188
26734	116607114.64842936
27136	88326060.59732926
27146	36715701.03504994
27243	111167248.94323164
27454	120753360.3960324
27551	115363079.90653381
27648	84262574.83874768
27774	126721767.03214334
28083	96083969.5190485
28441	116342255.4183337
29184	35744358.378528036
30387	38855960.68394345
30720	39008732.34599844
30796	21417217.28072929
31232	38768662.360766985
31744	40630747.20376187
33069	45523589.73220742
33257	21771848.041622214
33280	41964931.64645455
34724	21048791.8614487
34789	40199591.5138326
35317	44846680.62565145
36619	15505536.460983302
36721	46449462.577866904
37527	44372949.74111872
37888	47038277.17158763
38144	24299737.06120258
38325	50805122.977189206
38624	17627624.622308135
39936	46051469.73166965
41880	49716382.435206205
42089	28514510.89357457
42094	53751461.91717292
42447	51419315.615276776
42539	26714434.184271682
42616	54282624.980699696
42686	53353799.88787466
42833	54025484.182774246
43008	47880253.459584296
43166	56937364.03707482
43825	26680906.175708655
44450	19838682.331546564
45552	17165254.393905945
46409	60603755.482954465
47997	28837782.129433226
49272	29264572.281829994
52342	52454854.61304496
52409	51543213.25043288
52939	19712495.869943134
53104	58927861.99769158
53149	60511894.22516976
53180	60754865.12186292
54743	58684356.544993214
56566	19246120.96479816
57908	53233595.76160368
58828	60422469.981040314
59016	49438872.03224504
59690	58808358.29585063
61980	18491672.415090192
62782	17617234.053694975
63999	26693619.281289604
64803	48298627.72395767
65124	50399622.65813165
66552	48393443.30972172
68342	51222535.54445731
69728	48099745.1213579
72752	51948816.74952052
76900	55490960.6430235
77362	57713235.46299797
81148	61869795.051231
81483	58714156.88572835
83503	58970959.06964234
85167	64870743.117706604
86399	23855819.76939761
88172	19927315.90024742
90685	23803211.385345187
91001	20728004.610610727
92715	20888772.21424536
97285	19853120.49607882
97898	57592064.86741171
104676	19624359.647876043
108484	59910084.70377855
109410	20085255.028894976
117879	60335507.1708704
121635	20242354.225472916
124773	67364201.9638588
134703	21363035.42682679
136294	20852070.024483006
136784	24303250.499374535
141111	27948931.622661516
142209	27081451.58058572
144761	29029830.88138642
148748	21279827.433223527
149414	24778504.725107502
153796	30225161.4320323
155718	29155991.641823806
158971	25535489.291321103
163004	26305023.016067382
163174	22285441.0001412
172589	29314787.109703913
177664	27357968.746936303
177721	28716979.854595933
179062	27975237.717708595
184245	26996263.270616718
190711	25808314.17143232
191214	21685343.221827097
191305	26726099.78214415
193587	26978720.776698433
194236	21977774.2334585
235203	26220872.643301874
235264	24751444.711708527
236370	25824590.65151025
241895	23471238.719456952
244670	22851371.960155927
256766	27279474.882598925
304026	23765645.576263424
367476	25272498.315259654
369079	24929014.79277544
378628	24958527.84484322
386726	23999666.683287606
389487	24234775.962380048
404661	26848593.642710116
417790	23846464.874796186
432407	25356342.84804204
449254	22550883.743446052
451912	26140596.68335433
464695	24318245.686619736
517280	23528191.736673024
555390	22518533.59007083
832647	23845516.233558577
869729	25697162.59109343
893507	23782415.88662324
894604	25599451.270075437
894692	25943917.640988953
903805	23686106.750077646
1210098	22809257.337418176
1251680	23287531.760195535
1413240	22431626.131601106
1590513	22641413.36284301
1629865	22256940.83500977
1630697	22062372.695102043
1638125	22474816.657602567
1650136	22722957.367473494
1651457	22208809.969430186
1657626	22827700.835497458
1692249	22841866.72418173
1698248	20719295.160009433
1710022	22392365.286893003
1715421	21961753.090348445
1738708	22243200.267023463
1747746	22174293.616302658
1749307	22163452.535954185
1753046	22129770.498719767
1780405	22187998.25819974
1787592	21750196.688778214
1805607	22467778.649794232
1814824	22794305.522307
1824715	22930771.911959372
1833306	22292761.913999137
1876805	22285566.37772854
1885082	22001404.578771204
1891615	22271988.100241106
1914102	23046173.34027915
1955454	22934741.967820793
1996240	22798958.423666332
2061754	21478643.319631178
2124081	22744884.84028748
2131616	23488221.425388623
2171895	21468665.290006116
2224767	22370792.14538079
2252992	21212926.495144714
2294341	22829701.32894133
2297383	21759002.09367214
2315822	22100850.20839693
2319343	23682666.978798214
2335449	21717947.820248876
2346529	22952318.115857583
2383241	23125071.73126521
2388068	21556343.58992161
2458492	23058308.407265533
2506306	22376037.877479196
2532637	22037187.675017502
2628080	20547656.557041302
2642176	22631081.930682298
2681617	21877475.17776736
2686395	22314079.33816375
2780803	22429376.991424162
2813978	22303540.56558471
2835901	22169275.95647866
3126466	21898508.423982088
3240329	21506797.970628012
3281742	21111126.1404297
3361460	22233769.37734895
3465906	21786544.349473514
3497935	21203325.537334133
3561356	21338740.47858389
3618217	21250152.962418474
3621675	21227474.52454325
3627567	22022556.084937867
3696225	20837504.36540254
3726286	21428324.030568108
3739423	22156772.03494853
3783592	20654725.235443156
3824036	21135303.431940343
3893943	20654906.91737825
3900355	21112940.744557384
3940903	21199261.41802429
4060872	21183219.401846703
4084085	21499115.059334327
4164216	23121170.547261026
4174004	20495759.1033002
4254548	20231125.561339617
4292433	21293241.343262114
4295589	21428755.074830394
4305635	21557896.712528244
4335209	21656552.466998443
4355921	21605548.90700626
4384232	21630374.06396415
4428158	22151240.922163013
4451269	20898362.695354477
4501423	21432280.33169246
4532275	21127467.360782783
4539692	20797007.100868497
4548859	20782289.176154945
4561305	21104731.319011964
4600144	20554646.89041804
4614541	21550049.292286716
4628626	20101897.20855428
4653520	20821867.544745278
4674330	21063593.75998346
4675221	20996866.283554036
4697100	20751376.40030449
4697719	20892837.623938505
4714483	20413267.493617613
4727916	20910928.63844793
4732453	21238363.200683735
4750396	20076852.464453157
4790468	20475581.45065304
4799132	20444832.402324628
4803326	21378223.519717474
4826024	21518572.147382326
4834098	20956131.247176327
4834263	23584569.91625302
4836827	20658484.433237158
4839159	20752437.132130064
4839917	20748199.43760883
4866424	21423762.27782291
4874427	20672362.693136375
4877411	20109474.516651124
4927017	21545777.1456847
4928380	20582510.855009906
4929657	21801377.237508997
4939189	20824524.2341699
4941117	21488044.29263253
4943740	20246111.00344043
4971849	20775160.011847828
4983797	20990330.994488504
5003922	21032707.342274368
5004635	20497995.280037764
5031616	21201254.50591372
5060504	20859020.924438212
5067940	20457500.20437894
5088377	20628160.44595711
5095359	20746755.271324046
5145509	20955574.148533136
5165056	20709201.850640964
5200339	21312114.86668866
5209106	21100618.489993718
5209162	20744848.72160588
5218683	20328146.186948348
5232954	20946929.830426548
5289186	20925589.187480256
5455910	21113525.87323083
7235496	21210547.309429917
8137488	21034144.05794077
10145857	18087659.534342617
10314226	21161670.371868603
68111944	19965006.68649015
10776215552	18835431.68591475
